city,neighbourhood,latitude,longitude
Rio de Janeiro,Nossa Senhora das Graças,-22.8567597,-43.5298062
Rio de Janeiro,Nossa Senhora Graças,-22.8567597,-43.5298062
Rio de Janeiro,Olaria,-22.3045957,-42.5406267
Rio de Janeiro,Oswaldo Cruz,-22.8690705,-43.3503265
Rio de Janeiro,Paciência,-22.8987,-43.6369556
Rio de Janeiro,Padre Miguel,-22.8788135,-43.4485569
Rio de Janeiro,Paquetá,-22.7589261,-43.1091992
Rio de Janeiro,Parada de Lucas,-22.8167023,-43.3012102
Rio de Janeiro,Parada Lucas,,
Rio de Janeiro,Parque Anchieta,-22.8351687,-43.4155827
Rio de Janeiro,Parque Boa Esperança,,
Rio de Janeiro,Pavuna,-22.8121927,-43.3592811
Rio de Janeiro,Pechincha,-22.928988,-43.3534191
Rio de Janeiro,Pedra de Guaratiba,-22.9983546,-43.6388666
Rio de Janeiro,Pedra Guaratiba,,
Rio de Janeiro,Penha,-22.8381127,-43.2764454
Rio de Janeiro,Penha Circular,-22.8326425,-43.2842228
Rio de Janeiro,Piedade,-22.8926665,-43.3110001
Rio de Janeiro,Pilares,-22.8790904,-43.2955477
Rio de Janeiro,Pitangueiras,-22.8171281,-43.1799542
Rio de Janeiro,Portuguesa,-22.7999597,-43.2068169
Rio de Janeiro,Praça Bandeira,,
Rio de Janeiro,Praça Seca,-22.8992621,-43.3527794
Rio de Janeiro,Praia Bandeira,,
Rio de Janeiro,Quintino Bocaiuva,-22.8955889,-43.3253269
Rio de Janeiro,Ramos,-22.8519758,-43.2555693
Rio de Janeiro,Realengo,-22.8772743,-43.4301032
Rio de Janeiro,Recreio Bandeirantes,-23.007983250000002,-43.44695285
Rio de Janeiro,Recreio dos Bandeirantes,-23.0185151,-43.4634021
Rio de Janeiro,Riachuelo,-22.9026953,-43.255175
Rio de Janeiro,Ribeira,-22.8252399,-43.1705907
Rio de Janeiro,Ricardo de Albuquerque,-22.8380924,-43.3963439
Rio de Janeiro,Rio Comprido,-22.9279449,-43.2088566
Rio de Janeiro,Rocha,-22.754584649999998,-43.11222075
Rio de Janeiro,Rocha Miranda,-22.8503472,-43.3463053
Rio de Janeiro,Rocinha,-22.9885204,-43.2482058
Rio de Janeiro,Sampaio,-22.9022287,-43.2602402
Rio de Janeiro,Santa Cruz,-22.9176248,-43.6834907
Rio de Janeiro,Santa Teresa,-22.9213991,-43.1882138
Rio de Janeiro,Santa Tereza,-22.9213991,-43.1882138
Rio de Janeiro,Santíssimo,-22.8751928,-43.5198512
Rio de Janeiro,Santo Cristo,-22.9007657,-43.2033933
Rio de Janeiro,São Conrado,-22.9913592,-43.2675329
Rio de Janeiro,São Cristóvão,-22.899318,-43.2219346
Rio de Janeiro,São Francisco Xavier,-22.9047617,-43.2440314
Rio de Janeiro,Saúde,-22.8971835,-43.1841545
Rio de Janeiro,Senador Camará,-22.888752,-43.4913887
Rio de Janeiro,Senador Vasconcelos,-22.8953684,-43.5288566
Rio de Janeiro,Sepetiba,-22.9679803,-43.6940872
Rio de Janeiro,Tanque,-22.9151927,-43.3557471
Rio de Janeiro,Taquara,-22.9218864,-43.384646
Rio de Janeiro,Tauá,-22.7977495,-43.1867478
Rio de Janeiro,Tijuca,-22.9332164,-43.2381453
Rio de Janeiro,Todos Os Santos,-22.894563,-43.28506
Rio de Janeiro,Tomás Coelho,-22.8676979,-43.3060881
Rio de Janeiro,Tubiacanga,-22.7855214,-43.2265169
Rio de Janeiro,Turiaçu,-22.8616631,-43.3418026
Rio de Janeiro,Urca,-22.954074,-43.1679727
Rio de Janeiro,Vargem Grande,-22.9707911,-43.4968914
Rio de Janeiro,Vargem Pequena,-22.9818187,-43.4578117
Rio de Janeiro,Vaz Lobo,-22.8589721,-43.3278646
Rio de Janeiro,Vicente de Carvalho,-22.8571804,-43.3157892
Rio de Janeiro,Vidigal,-22.9952094,-43.2408556
Rio de Janeiro,Vigário Geral,-22.8095333,-43.3097039
Rio de Janeiro,Vila da Penha,-22.8435065,-43.3100585
Rio de Janeiro,Vila Isabel,-22.9152219,-43.2472627
Rio de Janeiro,Vila Kosmos,-22.853597,-43.3032021
Rio de Janeiro,Vila Militar,-22.860348,-43.4028933
Rio de Janeiro,Vila Penha,,
Rio de Janeiro,Vila Valqueire,-22.8886093,-43.3657758
Rio de Janeiro,Vista Alegre,-22.8296244,-43.3151276
Rio de Janeiro,Zumbi,-22.8212784,-43.1758609
São Paulo,Aclimação,-23.5671021,-46.6268011
São Paulo,Água Branca,-23.5212579,-46.6885155
São Paulo,Água Fria,-23.4817879,-46.62499
São Paulo,Água Funda,,
São Paulo,Água Rasa,-23.5653715,-46.57369718912304
São Paulo,Alto da Boa Vista,-23.6416251,-46.6994344
São Paulo,Alto da Lapa,-23.5273913,-46.7130594
São Paulo,Alto da Mooca,,
São Paulo,Alto da Riviera,-23.6980461,-46.7604023
São Paulo,Alto de Pinheiros,-23.5494609,-46.71229274842102
São Paulo,Alto do Pari,,
São Paulo,Altos de Vila Prudente,,
São Paulo,Americanópolis,-23.6815392,-46.6554326
São Paulo,Anhanguera,-23.4329085,-46.788533962659386
São Paulo,Artur Alvim,-23.539220999999998,-46.48526468200837
São Paulo,Associação Sobradinho,,
São Paulo,Balneário Dom Carlos,,
São Paulo,Balneário Mar Paulista,,
São Paulo,Balneário São Francisco,,
São Paulo,Balneário São José,-24.2769152,-46.9675859
São Paulo,Barra Funda,-23.5254616,-46.6675134
São Paulo,Barragem,-22.567964,-44.8620993
São Paulo,Barro Branco,-23.3867458,-46.3056417
São Paulo,Bela Aliança,-23.5248526,-46.7225147
São Paulo,Bela Vista,-23.5622095,-46.64776648788944
São Paulo,Belenzinho,-23.5510216,-46.9151277
São Paulo,Boacava,-23.540313,-46.7226097
São Paulo,Bom Retiro,-23.5271385,-46.636834846501365
São Paulo,Borore,-23.8200594,-46.6714231
São Paulo,Bortolândia,-23.4546742,-46.598442
São Paulo,Bosque da Saúde,-23.6094152,-46.6251697
São Paulo,Bras,-23.545113649999998,-46.61633553067246
São Paulo,Brasilândia,-23.4482715,-46.69026927092207
São Paulo,Brooklin Novo,-23.6214866,-46.6883182
São Paulo,Brooklin Paulista,-23.6295676,-46.6734954
São Paulo,Burgo Paulista,-23.5253848,-46.4823717
São Paulo,Butantã,-23.5690555,-46.7218833626702
São Paulo,Cambuci,-23.566128499999998,-46.61365030871091
São Paulo,Campininha,-23.7229425,-47.0631914
São Paulo,Campo Belo,-23.626730549999998,-46.66942867841393
São Paulo,Campo Grande,-23.67554775,-46.687234400083085
São Paulo,Campo Limpo,-23.632557650000003,-46.759666126372395
São Paulo,Campos Elíseos,-21.1577178,-47.7985526
São Paulo,Cangaiba,-23.5058996,-46.5314253
São Paulo,Canindé,-20.1696392,-47.8407637
São Paulo,Cantinho Ceu,-23.7481442,-46.65815098678078
São Paulo,Cantinho do Ceu,-23.65319915,-46.7586574080329
São Paulo,Capão do Embira,,
São Paulo,Capão Redondo,-23.6719026,-46.779435420915036
São Paulo,Capela do Socorro,,
São Paulo,Carandiru,-23.5095466,-46.62497714745851
São Paulo,Casa Verde,-23.5059269,-46.6561379
São Paulo,Casa Verde Alta,-23.497698,-46.6565761
São Paulo,Casa Verde Baixa,-23.510486,-46.6571046
São Paulo,Casa Verde Média,,
São Paulo,Catumbi,-23.476425,-46.3663307
São Paulo,Caxingui,-23.5849439,-46.7146853
São Paulo,Centro,-23.550389799999998,-46.633080956332904
São Paulo,Cerqueira César,-23.0353135,-49.1650519
São Paulo,Chácara Bandeirantes,-23.488179,-47.4013798
São Paulo,Chácara Belenzinho,,
São Paulo,Chácara Bosque do Sol,,
São Paulo,Chácara Califórnia,-21.8006898,-48.1943456
São Paulo,Chácara Cocaia,-23.7440258,-46.6628762
São Paulo,Chácara Cruzeiro do Sul,-23.5107749,-46.5340548
São Paulo,Chácara da Enseada,,
São Paulo,Chácara das Corujas,,
São Paulo,Chácara do Conde,,
São Paulo,Chácara do Sol,-23.4089392,-46.8799711
São Paulo,Chácara Dona Olívia,-23.5132484,-46.3882878
São Paulo,Chácara Figueira Grande,,
São Paulo,Chácara Flora,-21.7265583,-48.1821327
São Paulo,Chácara Flórida,-23.8505316,-46.8156563
São Paulo,Chácara Gaivotas,-23.7344498,-46.6650778
São Paulo,Chácara Inglesa,-23.608307,-46.6323198
São Paulo,Chácara Itaim,-23.0197566,-45.5194882
São Paulo,Chácara Japonesa,,
São Paulo,Chácara Jaraguá,-22.7293958,-47.66049122724077
São Paulo,Chácara Mafalda,,
São Paulo,Chácara Maria Trindade,,
São Paulo,Chácara Meyer,,
São Paulo,Chácara Monte Alegre,-22.69049305,-46.68043276878935
São Paulo,Chácara Nani,,
São Paulo,Chácara Nossa Senhora Aparecida,,
São Paulo,Chácara Nossa Senhora do Bom Conselho,,
São Paulo,Chácara Pouso Alegre,,
São Paulo,Chácara Santa Etelvina,,
São Paulo,Chácara Santa Maria,-23.6954378,-46.7935638
São Paulo,Chácara Santana,-23.4264194,-46.8649135
São Paulo,Chácara Santo Antônio,-23.4997345,-47.5533139
São Paulo,Chácara Santo Hubertus,,
São Paulo,Chácara São João,-22.3723337,-46.936882
São Paulo,Chácara São Luís,,
São Paulo,Chácara São Silvestre,,
São Paulo,Chácara Seis de Outubro,,
São Paulo,Chácara Tatuapé,,
São Paulo,Chácara Três Meninas,-23.4745691,-46.425597
São Paulo,Chácara Vista Alegre,-23.5830134,-46.9285464
São Paulo,Chora Menino,,
São Paulo,Chs Lago Grande,,
São Paulo,Cidade Ademar,-23.6730116,-46.6552806
São Paulo,Cidade Antônio Estêvão Carvalho,,
São Paulo,Cidade Auxiliadora,,
São Paulo,Cidade Centenário,-21.99932675,-47.8943870334583
São Paulo,Cidade Continental,,
São Paulo,Cidade D'abril,-23.54741635,-46.77020406925227
São Paulo,Cidade de Deus,-23.0467737,-45.5719326
São Paulo,Cidade Domitila,-23.6628425,-46.6483528
São Paulo,Cidade dos Bandeirantes,,
São Paulo,Cidade Dutra,-23.7139643,-46.6990882
São Paulo,Cidade Ipava,-23.724806,-46.763839378302194
São Paulo,Cidade Jardim,-23.3133401,-45.9740471
São Paulo,Cidade Júlia,-23.5161056,-46.3406774
São Paulo,Cidade Kemel,-23.5140458,-46.363208
São Paulo,Cidade Líder,-23.5627696,-46.4943334
São Paulo,Cidade Luz,,
São Paulo,Cidade Mãe do Ceu,,
São Paulo,Cidade Monções,,
São Paulo,Cidade Nitro Operária,,
São Paulo,Cidade Nitro Química,,
São Paulo,Cidade Nova América,,
São Paulo,Cidade Nova Heliopolis,,
